"corpus","preloaded/frtenten12_2"
"subcorpus",""
Item,Frequency
"afrique-caraïbe-pacifique",15
"allercarrefour",15
"anthelmintiques",15
"anti-peptide",15
"aglawen",15
"akio",15
"alphabtiss",15
"atristés",15
"allememand",15
"angolo",15
"akinétiques",15
"al-tirmidhî",15
"anti-policier",15
"abomidable",15
"anti-légionelles",15
"anti-hormones",15
"anti-cinématographique",15
"aichou",15
"attendu-e-s",15
"actues",15
"angreals",15
"algeriene",15
"apriès",15
"albumino-cytologique",15
"anakee",15
"americano-mexicaine",15
"adptable",15
"amiie",15
"anti-polluants",15
"anti-staliniennes",15
"ach-châfi",15
"alwen",15
"afro-americaines",15
"ballardienne",15
"anti-guerilla",15
"azanel",15
"afgesloten",15
"anti-extrémistes",15
"anti-atlantistes",15
"anthropobiologique",15
"ah-",15
"audouin",15
"at-tirmidhi",15
"assicurazioni",15
"acyclovir-resistant",15
"artient",15
"adéjà",15
"angoises",15
"advents",15
"aptitisi",15
"alcaloïde",15
"anaphylactoid",15
"aghlabite",15
"antiplongée",15
"al-majid",15
"agenouillez-vous",15
"akima",15
"akita",15
"bien-arrondis",15
"anti-rebelles",15
"bi-départementaux",15
"bertl",15
"anti-productifs",15
"benchmade",15
"belliniennes",15
"afro-francophone",15
"beatlesque",15
"acheminables",15
"base_exportable",15
"altitudinis",15
"anti-légionelle",15
"afrique-chine",15
"bandulatoire",15
"alsoffered",15
"anti-hitlériens",15
"anti-fear",15
"azerbaïdjanaise",15
"alorsj",15
"auxonnais",15
"aieeee",15
"autri",15
"anti-cellulitiques",15
"auto-portants",15
"auto-congratulé",15
"autant-",15
"actionneur",15
"ante2605@yahoo.fr",15
"agylith",15
"autaint",15
"annuelle-",15
"atachez",15
"afaliwen",15
"assistant-gérant",15
"acuelles",15
"aréoport",15
"acés",15
"artilleur",15
"agri-rurales",15
"arrayed",15
"agressable",15
"arcopal",15
"archi-mauvais",15
"alemands",15
"aldulte",15
"arachidique",15
"adultes-jeunes",15
"apparaissen",15
"analystique",15
"apagogique",15
"américano-françaises",15
"aménagables",15
"aggripé",15
"antirépressive",15
"al-mundhir",15
"al-mutawakkil",15
"amoureuze",15
"amunt",15
"agant",15
"amivac",15
"aftereffect",15
"adpete",15
"bifamiliales",15
"anti-sceptiques",15
"bien-intentionnées",15
"akané",15
"biceps",15
"accun",15
"bibliomtriques",15
"anti-psi",15
"betel",15
"benéficient",15
"benznique",15
"anti-pesteux",15
"benchrest",15
"afrobrésiliens",15
"benouze",15
"belcourtois",15
"bel-",15
"beauportois",15
"beaujolpif",15
"anti-messi",15
"alvol",15
"acheterai",15
"bauduin",15
"anti-lepéniste",15
"barbate",15
"anti-janséniste",15
"bannanes",15
"airelec",15
"airex",15
"acido-",15
"basdroite",15
"anti-histones",15
"anti-histoire",15
"bacasable",15
"babysun",15
"acostumé",15
"aérodinamique",15
"afoot",15
"aériènne",15
"afole",15
"anti-environnementales",15
"avecdeux",15
"avariels",15
"alon",15
"anti-devers",15
"affolente",15
"auxiette",15
"ai-ce",15
"autodénudant",15
"auto-élus",15
"auto-vidangeables",15
"allocatifs",15
"auto-convaincu",15
"actifs-dynamiques",15
"auto-complaisante",15
"actionde",15
"aupavant",15
"agéés",15
"augu",15
"auant-dictes",15
"attentionnee",15
"ansel",15
"autoreproductibles",15
"actuación",15
"ano-",15
"ataqua",15
"atalantes",15
"assurés",15
"annnées",15
"afbrile",15
"assuerus",15
"anne-aymone",15
"anjouan",15
"anictérique",15
"asce",15
"agriotes",15
"angémoniale",15
"acamprosate",15
"aréflexique",15
"arrée",15
"anglo-soviéto-américaine",15
"agri-cole",15
"arrivaient-elles",15
"alexxl",15
"armez-vous",15
"angegebenen",15
"arkanoïd",15
"addit",15
"archidiaconal",15
"arate",15
"andrésien",15
"aquitaniques",15
"androgenetique",15
"advantagesthe",15
"archéologuique",15
"adhéquate",15
"appelèe",15
"agissent-family",15
"apparti",15
"adiponectine",15
"aphabétique",15
"adrénalinées",15
"apexien",15
"américano-japonais",15
"anté-diluvienne",15
"alayk",15
"antitermites",15
"alae",15
"al-usbu",15
"al-salih",15
"antisectaire",15
"amprès",15
"amphithéotique",15
"amperiste",15
"antifraternel",15
"al-ihsan",15
"antiautoritario",15
"adps",15
"antiandrogenic",15
"al-asr",15
"anti-volatiles",15
"ammomanes",15
"anti-villepin",15
"anti-u",15
"allennois",15
"bilaine",15
"anti-taxe",15
"bijouté",15
"bifidité",15
"biisou",15
"biennio",15
"bien-organisé",15
"amiantacée",15
"bienvennu",15
"anti-rhétorique",15
"ambrose",15
"bichoriale",15
"bidibules",15
"bi-religieux",15
"anti-radon",15
"ameme",15
"bidruguel",15
"amazoniène",15
"betrokken",15
"afrobrésilien",15
"betreiben",15
"bereaved",15
"berbizier",15
"anti-pornographique",15
"berrada",15
"amapiennes",15
"benga",15
"ajouta-il",15
"benevolus",15
"anti-papal",15
"anti-pakistanais",15
"anti-oedémateuses",15
"bi-articulaire",15
"belgique-chine",15
"belghazi",15
"bel-abbésienne",15
"belangrijkste",15
"beauzée",15
"beauuuuuuuuuuuu",15
"aceuillie",15
"beillevaire",15
"anti-mitotique",15
"anti-messianique",15
"bavardeuse",15
"baysienne",15
"bashi",15
"aisémant",15
"acheterle",15
"bearingpoint",15
"altilive",15
"bariko",15
"altid",15
"barghouti",15
"a-spatiale",15
"bannatyne",15
"alternarienne",15
"barbanègre",15
"achétées",15
"baloney",15
"aintien",15
"balnéo-ludique",15
"altrove",15
"anti-oecuménique",15
"ainstant",15
"bellargus",15
"acidus",15
"bagal",15
"anti-herpès",15
"badius",15
"anti-gravitationnelles",15
"baceux",15
"alsa-utils",15
"backyards",15
"b.k.s",15
"anti-gauchistes",15
"aéromédicaux",15
"aïtal",15
"azonal",15
"azimuthal",15
"aarch",15
"babelien",15
"anti-emeutes",15
"axolotl",15
"avezc",15
"avot",15
"avecson",15
"avecouenfants",15
"alors-même",15
"aveyronaise",15
"aux-dessus",15
"anti-créatif",15
"anti-conventionnels",15
"auuuu",15
"anti-humanitaire",15
"anti-constructif",15
"aige",15
"azaghâl",15
"anti-capital",15
"anti-catastrophes",15
"autofleurissantes",15
"autoguide",15
"allowoverride",15
"autoagressifs",15
"auto-proclammé",15
"autobús",15
"auto-flagellant",15
"auto-fermante",15
"affini",15
"auto-expansibles",15
"authen",15
"authen-",15
"ahlaouis",15
"auto-planifiés",15
"action-gardien",15
"ahaicien",15
"ahaaven",15
"aurec",15
"auguemente",15
"ante-natale",15
"aufgeführten",15
"aujuste",15
"audigy",15
"audengeois",15
"attr_accessible",15
"atysien",15
"absynthe",15
"atteignent-elles",15
"actoce",15
"balearic",15
"agropédologique",15
"athipique",15
"anonymal",15
"athilirin",15
"allarde",15
"ataquée",15
"atacis",15
"ateignable",15
"alioui",15
"astris",15
"anniviard",15
"assuredly",15
"assistante-sociale",15
"annimateur",15
"assiduposté",15
"at-tark",15
"annae",15
"asolue",15
"ankylosing",15
"asociées",15
"ashtar",15
"ascerbe",15
"arérienne",15
"asmonéenne",15
"artéres",15
"arturs",15
"artisale",15
"artoung",15
"agriculturale",15
"adésive",15
"angoulêmemoto",15
"assessor",15
"arrêtre",15
"arrêteront-elles",15
"anglo-turque",15
"arrèté",15
"agrges",15
"arriveraient-elles",15
"adénosquameux",15
"arrivés-là",15
"angiotensin-passants",15
"arnestiliens",15
"angio-oedme",15
"arnac",15
"alexdu",15
"arei",15
"archétypielle",15
"arrayanes",15
"architextuelle",15
"archipresbytéral",15
"agnelin",15
"archipelago",15
"alentejano",15
"arcangelo",15
"advenuës",15
"archi-favoris",15
"arabo-byzantines",15
"arabedécidé",15
"adelyldor",15
"aquiescant",15
"ancéstrales",15
"aproved",15
"advises",15
"articipants",15
"ancens",15
"appàts",15
"appoprié",15
"appréhendent-elles",15
"agisant",15
"appe-",15
"anarchitectural",15
"appelaient-ils",15
"analytes",15
"apologètes",15
"aphonique",15
"apologète",15
"apathy",15
"apartrental",15
"agicheuse",15
"apparaissait-elle",15
"accessoiresle",15
"anvoyé",15
"aggréables",15
"antépréparatoire",15
"américano-asiatique",15
"américano-australienne",15
"américano-brésilienne",15
"antoinette",15
"a321",15
"antisarkozy",15
"al-turki",15
"amyliniques",15
"al-saïd",15
"amyable",15
"a330-200",15
"anécdote",15
"ampleure",15
"antiinfectieuses",15
"amphipode",15
"antihais",15
"agglutinen",15
"antigrave",15
"ampermétrique",15
"antigèniques",15
"al-i",15
"antidiphtrique",15
"al-jumu",15
"anticon",15
"adolescent-parent",15
"anti-évolutif",15
"al-faqîh",15
"antifoulard",15
"amnageable",15
"amméne",15
"aktiven",15
"anti-voldemort",15
"ammochés",15
"anti-vietnam",15
"al-chaykh",15
"anti-église",15
"a-postériori",15
"anti-ulcère",15
"al-qâdî",15
"anti-urbains",15
"anti-thyrodiens",15
"anti-tumeurs",15
"billweed",15
"amnorrhiques",15
"biloux",15
"amerzone",15
"bimétrique",15
"bifido-bactéries",15
"bigbrother",15
"amerlo",15
"binaire-",15
"accroupissez-vous",15
"bienr",15
"americane",15
"bientraitantes",15
"accu-chek",15
"bien-aîmé",15
"anti-service",15
"binch",15
"anti-relais",15
"anti-routine",15
"amblevins",15
"bidisciplinarité",15
"abesoin",15
"bicouleur",15
"bibliothècaire",15
"bido",15
"bi-site",15
"biaritz",15
"ambigûes",15
"bibliographystyle",15
"abh",15
"bi-caméral",15
"accuweather",15
"bindées",15
"anti-psychanalytique",15
"beurkkkkkkk",15
"betrgt",15
"beuze",15
"amazi",15
"bethuel",15
"beta-testeurs",15
"bevlkerung",15
"accésoires",15
"bergin",15
"amaricaine",15
"bernières",15
"anti-qui",15
"bentigt",15
"anti-poliomyélitique",15
"beyblades",15
"acelach",15
"anti-pigeon",15
"anti-plaquettes",15
"bengladais",15
"benedictines",15
"beneficiera",15
"acento",15
"benois",15
"anti-parlementariste",15
"belliard",15
"anti-oxydatives",15
"bellifontaines",15
"acerbée",15
"anti-québécoise",15
"amantis",15
"binominales",15
"belgiquerecherche",15
"belgo-tunisien",15
"belgeetfierdeletre",15
"belgo-turc",15
"anti-médecins",15
"belabes",15
"anti-nmo",15
"belgo-zaïroise",15
"beckhamreçu",15
"behalve",15
"beautenées",15
"behar",15
"alzan",15
"beauharnois",15
"anti-nouvel",15
"believable",15
"aafaewen",15
"bazanée",15
"aitolienne",15
"beak",15
"aaferaven",15
"bavec",15
"alutile",15
"beals",15
"bassiouni",15
"batismaux",15
"abolu",15
"batres",15
"afro-amricaine",15
"anti-monétariste",15
"acheterviagrafr",15
"bellaigue",15
"barok",15
"baronale",15
"anti-levage",15
"baroquissime",15
"barbey",15
"barbâre",15
"achmed",15
"barotraumatique",15
"achouri",15
"banques-entreprises",15
"anti-k",15
"baphométique",15
"anti-intuitif",15
"bandwagon",15
"achéologiques",15
"barriè",15
"anti-immigrées",15
"baltazard",15
"anti-il",15
"bande-originale",15
"ballastic",15
"balloches",15
"acide-",15
"bandial",15
"acide-basique",15
"balgentien",15
"amanchu",15
"balkenende",15
"afro-american",15
"amiran",15
"afriquecentrale",15
"binu",15
"aangezien",15
"baggareur",15
"bafouee",15
"bagnole",15
"anti-habsbourg",15
"bactrimiques",15
"aclocal",15
"baillival",15
"aboutharem",15
"back-liens",15
"aboutiront-elles",15
"backsets",15
"babyline",15
"babyloanien",15
"aboutits",15
"baisée",15
"alpiécrit",15
"b24",15
"afraicaine",15
"bab-azoun",15
"anti-fibrinolytique",15
"aérosolisée",15
"acouchée",15
"babate",15
"azoo",15
"azopt",15
"aile-de-mort",15
"aérienne-",15
"acoustico-verbales",15
"acoutiques",15
"abracadantesque",15
"bakassi",15
"a-idéologique",15
"aykroyd",15
"alothaun",15
"aymes",15
"acquiesçat",15
"avibus",15
"anti-el",15
"ayuverdique",15
"abreu",15
"avenable",15
"avecleur",15
"aventuriy",15
"av-",15
"avantl",15
"anti-dpresseurs",15
"ayéé",15
"acquéreurs",15
"aux-in",15
"alongwith",15
"auxe",15
"aieuh",15
"autribunal",15
"aloides",15
"auxetats-unis",15
"autorié",15
"autoscale",15
"affranchissable",15
"autras",15
"anti-cigarette",15
"anti-dote",15
"alnif",15
"balbutia-t-il",15
"anti-canadiens",15
"automati-",15
"anti-bourgeoises",15
"automobi",15
"allur",15
"autogr",15
"autocentrique",15
"autonomo-indépendantistes",15
"abakuás",15
"autobigraphique",15
"anti-bactrienne",15
"autobots",15
"auto-promotionnels",15
"auto-rapportés",15
"anti-blocher",15
"autoplastique",15
"auto-induits",15
"auto-installables",15
"absolufun",15
"auto-lubrifiantes",15
"auto-engendré",15
"auto-existant",15
"auto-consistante",15
"auto-perforant",15
"auto-actif",15
"auto-aggripante",15
"actifs-",15
"auto-amortissables",15
"allusinant",15
"anti-cholinergic",15
"anthralin",15
"autopromotionnelle",15
"aurestephamrin",15
"auscitaines",15
"actionable",15
"ausommet",15
"auqul",15
"aurais-je",15
"auparevant",15
"ausquel",15
"actionnistes",15
"augustienne",15
"allgre",15
"aujourdâhui",15
"affiliateur",15
"augmentera-t-elle",15
"alliancé",15
"ausus",15
"a-une",15
"audio-visual",15
"auctoriales",15
"audiomobile",15
"atttrayant",15
"aturels",15
"activity-based",15
"audonniens",15
"activitè",15
"attendand",15
"atrocites",15
"attendry",15
"affectieuse",15
"anti-suicidaire",15
"amity",15
"bio-actif",15
"allees",15
"athlète",15
"agrssive",15
"athéé",15
"atentioné",15
"atget",15
"agréssé",15
"atiawen",15
"actualitées",15
"annonçable",15
"ataquant",15
"atec",15
"annoncelegaleblog",15
"atactique",15
"atachants",15
"atletikun",15
"a-vous",15
"astrodienst",15
"astarte",15
"astrophysicien",15
"abélardienne",15
"assurancet",15
"anniverssaires",15
"asymbolique",15
"a-vridh",15
"assistents",15
"allemans",15
"assos",15
"abîme-t-il",15
"assimilier",15
"abattonledictateur",15
"atmosphére",15
"asouriques",15
"aspatiale",15
"alimen-taire",15
"aspectu",15
"ankou",15
"annemassiennes",15
"aevl",15
"asphodelus",15
"asic",15
"asid",15
"animal-végétal",15
"asisin",15
"agro-sylvicole",15
"arêtée",15
"arégénératives",15
"assani",15
"abbadon",15
"artérielleété",15
"angustirostris",15
"aryaniste",15
"artistiquegymnastique",15
"artlatin",15
"anguinus",15
"arythmogne",15
"artificiele",15
"artificielle-",15
"acò",15
"artik",15
"angoument",15
"annexable",15
"angounou",15
"atosil",15
"arsénicale",15
"art-thérapeutique",15
"adameteve",15
"artficielle",15
"arrière-littorales",15
"arrongants",15
"algéro-britanniques",15
"arthrospira",15
"a.c",15
"arriverent",15
"algual",15
"arrivès",15
"abbauen",15
"arrial",15
"anglo-juive",15
"arthénice",15
"adapté-",15
"arobiques",15
"arnak",15
"arostatique",15
"abberantes",15
"angiogenic",15
"angiens",15
"arques",15
"arendal",15
"argonautiques",15
"ardh",15
"argonien",15
"abbez",15
"arcoise",15
"anglo-americaine",15
"artial",15
"addictologues",15
"archive_command",15
"anedocte",15
"archivelog",15
"abbiate",15
"archifou",15
"archi-rebattu",15
"archstone",15
"alernatif",15
"archi-fan",15
"arcadique",15
"archi-fausse",15
"abbou",15
"agnifiques",15
"adversite",15
"archã",15
"arabo-français",15
"arabo-méditerranéenne",15
"aqvec",15
"arabo-occidentale",15
"aquafin",15
"aquidonner",15
"andersonienne",15
"arachant",15
"a.t",15
"après-crise",15
"ancéstrale",15
"aptisé",15
"anoumakaran",15
"apri",15
"aneuploïde",15
"atp-dépendante",15
"a-ba",15
"anchi",15
"anchien",15
"aprasien",15
"apprient",15
"approuvez-vous",15
"accepto",15
"aprecient",15
"alcalescent",15
"alcali-silice",15
"appaumé",15
"appelai-je",15
"apparaitriy",15
"apparentable",15
"anatomo-",15
"apreciés",15
"abcdefgh",15
"apos-",15
"albonubes",15
"apotiquaires",15
"apicalis",15
"apichatpong",15
"album-",15
"appaloose",15
"accessble",15
"apaté",15
"accessibile",15
"apes",15
"aone",15
"apact",15
"analgé",15
"aprennez",15
"adjaçantes",15
"anvrismale",15
"antéro-latérales",15
"anydywan",15
"albens",15
"anténicéens",15
"accidentales",15
"ançiens",15
"abdelmajid",15
"antitumor",15
"alarmess",15
"antiélitiste",15
"amétrique",15
"antispéculatif",15
"alamanique",15
"ançois",15
"adkins",15
"aladji",15
"amélioratives",15
"antiscolaires",15
"acclam",15
"alahou",15
"acclrateurs",15
"antiscrtoires",15
"abdeslam",15
"antiprotéinurique",15
"aglais",15
"antiqué",15
"administrativen",15
"administratives-",15
"adresse-t-elle",15
"apresque",15
"a-et",15
"antilarvaire",15
"antihyperglycémique",15
"antilopes",15
"abdomaine",15
"amsif",15
"adpte",15
"antimunichois",15
"adnar",15
"antigravitaire",15
"amovile",15
"antigènes",15
"abdomin",15
"antifrancophones",15
"ageur",15
"antimémoires",15
"a-confessionnel",15
"antidotal",15
"anticonsuméristes",15
"antidynastique",15
"antibacteriennes",15
"anticarcérales",15
"antiandrognique",15
"antifigeant",15
"accompl",15
"anti-œdémateuse",15
"agenoux",15
"antiacridien",15
"al-hadid",15
"amouriaux",15
"adoléscente",15
"antimüllérienne",15
"a-fait",15
"amnené",15
"akouô",15
"anti-zombie",15
"ammophile",15
"ammoureuse",15
"afuj",15
"anti-éclat",15
"anti-vers",15
"biobble",15
"bio-bibliographiques",15
"atramedes",15
"aprete",15
"antioxidante",15
"anti-égyptien",15
"anti-vapeur",15
"anti-tussifs",15
"anovulant",15
